           G1           G12           G32           G24           G22           G14           G11            G4           G18           G31           G17            G3           G25           G26           G29 
 23527987.056  21972648.359  22403365.951  23784621.452  21148286.543  20408196.378  24488332.428  23108442.059  23196661.017  22514486.129  25648439.341             0             0             0             0 
 23527900.192  21972620.569  22402887.237  23785272.449  21148685.515  20408150.444  24488620.925  23108699.683  23197296.183  22513871.405  25648503.069             0             0             0             0 
 23527815.469   21972594.92  22402410.598  23785925.499   21149086.34  20408107.268  24488915.359  23108959.419  23197938.791   22513258.71  25648554.131             0             0             0             0 
 23527729.677   21972568.22  22401932.854  23786577.382  21149485.828   20408062.76  24489187.365  23109217.855  23198578.688  22512592.942  25648601.174             0             0             0             0 
 23527644.287  21972541.938  22401455.457  23787229.558  21149885.531  20408018.227  24489470.844  23109476.646  23199218.911  22511977.993  25648653.384             0             0             0             0 
 23527559.667  21972516.424  22400978.769  23787882.412  21150285.832  20407974.481  24489768.983  23109736.169  23199861.063  22511366.813  25648706.211             0             0             0             0 
 23527474.858   21972490.71  22400501.858  23788534.978  21150685.809  20407930.252  24490069.194  23109995.458  23200503.787  22510757.673  25648761.955             0             0             0             0 
 23545782.402  21990857.349  22418417.205  23807579.816  21169478.159             0             0             0             0             0             0             0             0             0             0 
 23564090.698  22009224.755  22436333.278  23826625.308  21188271.431   20444627.23  24527464.199  23147299.973             0             0             0             0             0             0             0 
 23582398.565   22027591.75  22454248.851  23845670.262  21207064.265  20462975.897  24546163.599             0             0             0             0             0             0             0             0 
 23600707.114  22045959.465  22472165.055  23864715.785  21225857.759  20481325.091             0             0             0             0             0             0             0             0             0 
 23619015.213  22064326.762    22490080.8  23883760.771  21244650.803   20499673.59             0             0             0             0             0             0             0             0             0 
 23637324.014  22082694.809  22507997.125  23902806.369  21263444.542             0             0             0             0             0             0             0             0             0             0 
 23655632.321  22101062.374   22525912.94  23921851.352  21282237.707  20536371.344  24620965.056  23240563.534             0             0             0             0             0             0             0 
 23673941.331  22119430.667  22543829.412  23940896.949  21301031.504  20554720.474  24639666.449             0             0             0             0             0             0             0             0 
 23692249.942  22137798.558  22561745.458  23959942.027  21319824.957  20573069.061             0             0             0             0             0             0             0             0             0 
 23710559.246  22156167.176  22579662.138  23978987.727  21338619.057  20591418.181             0             0             0             0             0             0             0             0             0 
 23728868.053  22174535.302   22597578.28  23998032.795  21357412.605             0             0             0             0             0             0             0             0             0             0 
 23747177.511  22192904.084  22615495.018  24017078.425  21376206.849  20628116.214             0             0             0             0             0             0             0             0             0 
 23765486.516  22211272.425  22633411.273  24036123.479  21395000.616  20646465.044             0             0             0             0             0             0             0             0             0 
  23783796.33   22229641.58  22651328.322  24055169.265  21413795.181  20664814.432  24751875.447             0             0             0             0             0             0             0             0 
 23802105.679  22248010.267  22669244.879  24074214.496  21432589.311  20683163.498  24770552.368             0             0             0             0             0             0             0             0 
 23820415.757  22266379.675  22687162.144  24093260.364  21451384.145  20701513.176             0             0             0             0             0             0             0             0             0 
  23838725.37  22284748.617  22705078.898  24112305.668  21470178.357  20719862.406             0             0             0             0             0             0             0             0             0 
  23857035.68  22303118.282  22722996.303   24131351.59  21488973.037  20738212.358             0             0             0             0             0             0             0             0             0 
 23875345.559  22321487.538  22740913.244  24150396.974  21507767.147  20756561.831  24845312.399             0             0             0             0             0             0             0             0 
 23893656.163   22339857.55  22758830.874   24169442.99  21526561.884  20774912.085  24864015.424             0             0             0             0             0             0             0             0 
 23911966.348  22358227.159  22776748.048  24188488.488  21545356.069  20793261.835             0             0             0             0             0             0             0             0             0 
 23930277.205  22376597.481  22794665.841   24207534.57  21564150.951   20811612.09             0             0             0             0             0             0             0             0             0 
 23948587.647  22394967.408  22812583.162  24226580.136  21582945.443  20829961.833             0             0             0             0             0             0             0             0             0 
 23966898.758  22413338.015   22830501.05  24245626.269  21601740.478  20848312.124             0             0             0             0             0             0             0             0             0 
 23985209.409  22431708.169  22848418.448  24264671.836  21620525.707  20866661.863             0             0             0             0             0             0             0             0             0 
