           G1           G28           R22           G19           R12            G7            G3            G6            R6           R24            R5           G26           G11           G16           R13           R14            G8           R23           G15           G22           G17            R7           R15           R17            R8           G32           G20            G9            R1           R16            G4           R18            R2           G12            G2            R9           G10           G23           G25           R19           R10           G13            G5            R4           G31           R11           G29           R20           G30           G21           R21           G18           G14 
 23815384.399  23418101.271  20126479.896  20576503.229  20850572.181  20361179.481  22177243.051  23871189.427  23896969.324  22949017.522  23330233.429  23194679.359  21898256.781  24811902.342  19151353.661  21666798.605  20650946.121  19472152.699             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23794424.261  23402498.449  20141642.236  20584599.609  20869652.436  20367330.806  22196301.045  23890335.237  23883326.115  22925234.923  23334085.705  23188096.306  21881613.734  24830708.929  19148858.657  21645612.021  20642124.618  19462740.292             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23773491.821  23386912.278   20156899.76   20592789.79  20888815.893  20373592.175  22215406.104  23909501.412  23869785.081  22901490.533  23338082.979  23181640.642  21865044.364  24849526.658  19146493.843  21624472.893  20633403.801  19453451.874             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23752577.751  23371345.287  20172252.462  20601074.944  20908063.672  20379964.052  22234552.232  23928689.113  23856352.103   22877782.97  23342221.941  23175310.296  21848550.058  24868353.787  19144260.721   21603384.82  20624783.833  19444290.697             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23731690.725  23355800.077  20187696.156  20609453.058  20927394.549  20386446.935  22253743.418  23947897.249  23843030.874  22854114.852  23346502.769  23169107.893  21832133.303  24887188.009  19142158.894  21582346.898  20616266.069  19435255.821             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23710828.307  23340271.641  20203233.684  20617923.855  20946810.193  20393039.464  22272973.822  23967124.397  23829823.368   22830486.31  23350924.897    23163033.8  21815792.329  24906029.675  19140188.768  21561360.698  20607849.769  19426347.238             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23689989.323  23324761.881  20218862.314  20626489.103  20966306.325  20399742.531  22292249.806  23986370.011  23816716.137  22806897.094  23355485.087  23157084.874  21799526.787  24924879.162  19138350.684  21540423.746  20599535.812  19417564.957             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23669176.775  23309272.688  20234581.886  20635145.543  20985888.821   20406554.75  22311568.242  24005633.485  23803727.317  22783349.901  23360193.054  23151264.431  21783339.081  24943735.962  19136645.106  21519540.058  20591324.517  19408909.336             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23648390.981  23293803.043  20250392.927   20643894.76  21005550.188  20413477.989  22330924.044   24024917.62  23790840.971  22759841.451  23365039.759  23145573.567   21767230.24  24962602.469  19135071.952   21498709.54  20583216.722  19400380.502             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23627630.954  23278352.132  20266292.882  20652735.531  21025294.054  20420510.134  22350322.808  24044219.732  23778080.115  22736377.435  23370027.649  23140008.955  21751197.785  24981477.795  19133632.018  21477932.312  20575212.864    19391979.3             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23606900.732  23262921.171  20282283.093  20661667.391  21045119.576  20427652.402  22369764.445  24063538.506  23765427.789  22712954.798   23375153.76  23134570.786  21735246.503   25000357.71  19132325.137  21457209.729  20567312.481  19383705.092             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23586194.427  23247510.576  20298361.034  20670690.527  21065025.186  20434904.082  22389243.935  24082876.876  23752886.283  22689576.282  23380421.412  23129261.753  21719373.365  25019244.619  19131151.682  21436538.827  20559516.348  19375558.101             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
